,Host,CID_Host,Guest,CID_Guest,pH,T,DeltaG,Erreur,K,logK,Reference,Original_Value,Drop
11,sulfobutylether-beta-cd,91886200,trans-anethole,637563.0,7.0,298.0,-17.59,0.0,1210,,"Kfoury, M., Auezova, L., Greige-Gerges, H. et al. Encapsulation in cyclodextrins to widen the applications of essential oils. Environ Chem Lett 17, 129–143 (2019). https://doi.org/10.1007/s10311-018-0783-y",K,False
12,alpha-cyclodextrin,444913,1-adamantylammonium,3776755.0,7.0,298.0,-13.9,0.1,273,," Gelb, R. I.; Schwartz, L. M.; Laufer, D. A. J. Chem. Soc., Perkin Trans. 2 1984, 15-21.",DeltaG,False
13,beta-cyclodextrin,444041,limonene,22311.0,7.0,298.0,-19.97,0.0,3162,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
14,alpha-cyclodextrin,444913,1-adamantylammonium,3776755.0,2.5,298.0,-9.68,0.04,50,," Gelb, R. I.; Schwartz, L. M.; Laufer, D. A. J. Chem. Soc., Perkin Trans. 2 1984, 15-21.",DeltaG,False
15,hp-beta-cd,138319308,limonene,22311.0,7.0,298.0,-19.65,0.0,2787,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
16,alpha-cyclodextrin,444913,2-aminobenzoic acid,227.0,7.0,298.0,-28.5,7.5,99032,," Lewis, E. A.; Hansen, L. D. J. Chem. Soc., Perkin Trans. 2 1973, 2081-2085.",DeltaG,True
17,alpha-cyclodextrin,444913,limonene,22311.0,7.0,298.0,-17.74,0.0,1289,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
18,alpha-cyclodextrin,444913,3-aminobenzoic acid,7419.0,7.0,298.0,-9.9,0.0,54,," Harata, K. Bioorg. Chem. 1981, 10, 255-265.",DeltaG,False
19,gamma-cyclodextrin,5287407,limonene,22311.0,7.0,298.0,-11.78,0.0,116,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
20,alpha-cyclodextrin,444913,4-aminobenzoic acid,978.0,7.0,298.0,-15.9,0.4,613,," Lewis, E. A.; Hansen, L. D. J. Chem. Soc., Perkin Trans. 2 1973, 2081-2085.",DeltaG,False
21,methyl beta-cyclodextrin,51051622,limonene,22311.0,7.0,298.0,-20.78,0.0,4386,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
22,alpha-cyclodextrin,444913,6-aminohexanoic acid,564.0,7.0,298.0,-7.6,0.7,21,," Castronuovo, G.; Elia, V.; Fessas, D.; Giordano, A.; Velleca, F. Carbohydr. Res. 1995, 272, 31-39.",DeltaG,True
23,sulfobutylether-beta-cd,91886200,limonene,22311.0,7.0,298.0,-20.59,0.0,4069,,"Kfoury M, Pipkin JD, Antle V, Fourmentin S (2017)  Captisol<s>®</s>: anefficient carrier and solubilizing agent for essential oils andtheir components. Flavour Fragr J 32(5):340–346. https://doi.org/10.1002/ffj.3395",K,False
24,alpha-cyclodextrin,444913,2-aminooctanoic acid,69522.0,7.8,298.0,-16.0,0.2,638,," Castronuovo, G.; Elia, V.; Fessas, D.; Giordano, A.; Velleca, F. Carbohydr. Res. 1995, 272, 31-39.",DeltaG,False
25,hp-beta-cd,138319308,linalool,6549.0,7.0,298.0,-15.83,0.0,596,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
26,alpha-cyclodextrin,444913,8-aminooctanoic acid,66085.0,7.1,298.0,-10.7,0.1,75,," Castronuovo, G.; Elia, V.; Fessas, D.; Giordano, A.; Velleca, F. Carbohydr. Res. 1995, 272, 31-39.",DeltaG,False
27,alpha-cyclodextrin,444913,linalool,6549.0,7.0,298.0,-8.59,0.0,32,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
28,alpha-cyclodextrin,444913,4-aminophenol,403.0,4.0,298.0,-7.1,0.3,18,," Hirayama, F.; Kurihara, M.; Uekama, K. Int. J. Pharm. 1987, 35, 193-199.",DeltaG,False
29,beta-cyclodextrin,444041,linalool,6549.0,7.0,298.0,-14.62,0.0,366,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
30,alpha-cyclodextrin,444913,11-aminoundecanoic acid,17083.0,6.7,298.0,-19.0,0.2,2141,," Castronuovo, G.; Elia, V.; Fessas, D.; Giordano, A.; Velleca, F. Carbohydr. Res. 1995, 272, 31-39.",DeltaG,False
31,gamma-cyclodextrin,5287407,linalool,6549.0,7.0,298.0,-12.21,0.0,138,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
32,alpha-cyclodextrin,444913,d-amphetamine,5826.0,11.0,298.0,-7.9,0.0,24,," Cooper, A.; MacNicol, D. D. J. Chem. Soc., Perkin Trans. 2 1978, 760-763.",DeltaG,False
33,methyl beta-cyclodextrin,51051622,linalool,6549.0,7.0,298.0,-16.66,0.0,833,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
34,alpha-cyclodextrin,444913,l-amphetamine,32893.0,11.0,298.0,-8.0,0.0,25,," Cooper, A.; MacNicol, D. D. J. Chem. Soc., Perkin Trans. 2 1978, 760-763.",DeltaG,False
35,alpha-cyclodextrin,444913,menthol,1254.0,7.0,298.0,-10.92,0.0,82,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
36,alpha-cyclodextrin,444913,anthracene,8418.0,7.0,298.0,-10.7,0.0,75,," Blyshak, L. A.; Warner, I. M.; Patonay, G. Anal. Chim. Acta 1990, 232, 239-243.",DeltaG,False
37,beta-cyclodextrin,444041,menthol,1254.0,7.0,298.0,-18.47,0.0,1731,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
38,alpha-cyclodextrin,444913,benz[a]anthracene,5954.0,7.0,298.0,-11.1,0.0,88,," Blyshak, L. A.; Warner, I. M.; Patonay, G. Anal. Chim. Acta 1990, 232, 239-243.",DeltaG,False
39,gamma-cyclodextrin,5287407,menthol,1254.0,7.0,298.0,-11.53,0.0,105,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
40,alpha-cyclodextrin,444913,benzene,241.0,7.0,298.0,-8.56,0.03,32,," Tucker, E. E.; Christian, S. D. J. Am. Chem. Soc. 1984, 106, 1942-1945.",DeltaG,False
41,methyl beta-cyclodextrin,51051622,menthol,1254.0,7.0,298.0,-18.74,0.0,1928,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
42,alpha-cyclodextrin,444913,benzoate,242.0,7.0,298.0,-5.8,0.1,10,," Gelb, R. I.; Schwartz, L. M.; Johnson, R. F.; Laufer, D. A. J. Am. Chem. Soc. 1979, 101, 1869-1874.",DeltaG,False
43,hp-beta-cd,138319308,menthol,1254.0,7.0,298.0,-17.3,0.0,1079,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
44,alpha-cyclodextrin,444913,benzoic acid,243.0,7.0,303.0,-17.2,0.2,923,," Siimer, E.; Kurvits, M. Thermochim. Acta 1989, 140, 161-168.",DeltaG,False
45,beta-cyclodextrin,444041,menthone,26447.0,7.0,298.0,-16.07,0.0,656,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
46,alpha-cyclodextrin,444913,benzo[a]pyrene,2336.0,7.0,298.0,-12.8,0.0,175,," Blyshak, L. A.; Warner, I. M.; Patonay, G. Anal. Chim. Acta 1990, 232, 239-243.",DeltaG,False
47,alpha-cyclodextrin,444913,menthone,26447.0,7.0,298.0,-8.81,0.0,35,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
48,alpha-cyclodextrin,444913,l-alpha-o-benzylglycerol,2724795.0,6.9,298.0,-6.66,0.48,15,," Rekharsky, M. V.; Goldberg, R. N.; Schwarz, F. P.; Tewari, Y. B.; Ross, P. D.; Yamashoji, Y.; Inoue, Y. J. Am. Chem. Soc. 1995, 117, 8830-8840.",DeltaG,False
49,gamma-cyclodextrin,5287407,menthone,26447.0,7.0,298.0,-10.95,0.0,83,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
50,alpha-cyclodextrin,444913,1-benzylimidazole,77918.0,10.0,298.0,-10.15,0.22,60,," Rekharsky, M. V.; Goldberg, R. N.; Schwarz, F. P.; Tewari, Y. B.; Ross, P. D.; Yamashoji, Y.; Inoue, Y. J. Am. Chem. Soc. 1995, 117, 8830-8840.",DeltaG,False
51,methyl beta-cyclodextrin,51051622,menthone,26447.0,7.0,298.0,-16.4,0.0,748,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
52,alpha-cyclodextrin,444913,4-benzylpiperidine,31738.0,6.9,298.0,-9.43,0.15,45,," Rekharsky, M. V.; Goldberg, R. N.; Schwarz, F. P.; Tewari, Y. B.; Ross, P. D.; Yamashoji, Y.; Inoue, Y. J. Am. Chem. Soc. 1995, 117, 8830-8840.",DeltaG,False
53,hp-beta-cd,138319308,menthone,26447.0,7.0,298.0,-16.1,0.0,664,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
54,alpha-cyclodextrin,444913,4-bromophenol,7808.0,4.2,298.0,-16.3,0.1,720,," Bertrand, G. L.; Faulkner, J. R.; Han, S. M.; Armstrong, D. W. J. Phys. Chem. 1989, 93, 6863-6867.",DeltaG,False
55,sulfobutylether-beta-cd,91886200,menthone,26447.0,7.0,298.0,-16.39,0.0,745,,"Kfoury, M., Auezova, L., Greige-Gerges, H. et al. Encapsulation in cyclodextrins to widen the applications of essential oils. Environ Chem Lett 17, 129–143 (2019). https://doi.org/10.1007/s10311-018-0783-y",K,False
56,alpha-cyclodextrin,444913,4-bromophenol,7808.0,4.0,298.0,-16.2,0.4,691,," Hirayama, F.; Kurihara, M.; Uekama, K. Int. J. Pharm. 1987, 35, 193-199.",DeltaG,False
57,hp-beta-cd,138319308,myrcene,31253.0,7.0,298.0,-15.74,0.0,575,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
58,alpha-cyclodextrin,444913,"1,2-butanediol",11429.0,7.0,298.0,-6.3,0.1,13,," Andini, S.; Castronuovo, G.; Elia, V.; Gallotta, E. Carbohydr. Res. 1991, 217, 87-97.",DeltaG,False
59,alpha-cyclodextrin,444913,myrcene,31253.0,7.0,298.0,-13.27,0.0,212,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
60,alpha-cyclodextrin,444913,"1,3-butanediol",7896.0,7.0,298.0,-5.7,0.5,10,," Spencer, J. N.; DeGarmo, J.; Paul, I. M.; He, Q.; Ke, X.; Wu, Z.; Yoder, C. H.; Chen, S.; Mihalick, J. E. J. Solution Chem. 1995, 24, 601-609. Complexation Thermodynamics of Cyclodextrins",DeltaG,False
61,beta-cyclodextrin,444041,myrcene,31253.0,7.0,298.0,-18.0,0.0,1431,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
62,alpha-cyclodextrin,444913,"1,4-butanediol",8064.0,7.0,288.0,-5.4,0.2,10,," Bastos, M.; Briggner, L.-E.; Shehatta, I.; Wadso¨, I. J. Chem. Thermodyn. 1990, 22, 1181-1190.",DeltaG,False
63,gamma-cyclodextrin,5287407,myrcene,31253.0,7.0,298.0,-12.21,0.0,138,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
64,alpha-cyclodextrin,444913,"1,4-butanediol",8064.0,7.0,298.0,-5.2,0.3,8,," Andini, S.; Castronuovo, G.; Elia, V.; Gallotta, E. Carbohydr. Res. 1991, 217, 87-97.",DeltaG,False
65,methyl beta-cyclodextrin,51051622,myrcene,31253.0,7.0,298.0,-17.74,0.0,1286,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
66,alpha-cyclodextrin,444913,"1,4-butanediol",8064.0,7.0,308.0,-4.8,0.2,7,," Bastos, M.; Briggner, L.-E.; Shehatta, I.; Wadso¨, I. J. Chem. Thermodyn. 1990, 22, 1181-1190.",DeltaG,False
67,sulfobutylether-beta-cd,91886200,myrcene,31253.0,7.0,298.0,-16.9,0.0,916,,"Kfoury M, Pipkin JD, Antle V, Fourmentin S (2017)  Captisol<s>®</s>: anefficient carrier and solubilizing agent for essential oils andtheir components. Flavour Fragr J 32(5):340–346. https://doi.org/10.1002/ffj.3395",K,False
68,alpha-cyclodextrin,444913,butanoate,104775.0,11.3,298.0,-11.0,0.0,85,," Castronuovo, G.; Elia, V.; Fessas, D.; Velleca, F.; Viscardi, G. Carbohydr. Res. 1996, 287, 127-138.",DeltaG,False
69,hp-beta-cd,138319308,alpha-pinene,6654.0,7.0,298.0,-18.34,0.0,1637,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
70,alpha-cyclodextrin,444913,alpha-pinene,6654.0,7.0,298.0,-18.54,0.0,1778,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
71,alpha-cyclodextrin,444913,butanoate,104775.0,6.9,298.0,-6.3,0.3,13,," Rekharsky, M. V.; Mayhew, M. P.; Goldberg, R. N.; Ross, P. D.; Yamashoji, Y.; Inoue, Y.; A J. Phys. Chem. 1997, 101, 87-100.",DeltaG,False
72,alpha-cyclodextrin,444913,butanoate,104775.0,7.0,298.0,-6.78,0.13,15,," Gelb, R. I.; Schwartz, L. M. J. Inclusion Phenom. Mol. Recognit. Chem. 1989, 7, 465-476.",DeltaG,False
73,beta-cyclodextrin,444041,alpha-pinene,6654.0,7.0,298.0,-19.47,0.0,2588,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
74,alpha-cyclodextrin,444913,butanoic acid,264.0,7.0,298.0,-12.15,0.04,135,," Gelb, R. I.; Schwartz, L. M. J. Inclusion Phenom. Mol. Recognit. Chem. 1989, 7, 465-476.",DeltaG,False
75,gamma-cyclodextrin,5287407,alpha-pinene,6654.0,7.0,298.0,-13.29,0.0,214,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
76,alpha-cyclodextrin,444913,(r)-(-)-2-butanol,84682.0,6.9,298.0,-7.9,0.2,24,," Rekharsky, M. V.; Schwarz, F. P.; Tewari, Y. B.; Goldberg, R. N. J. Phys. Chem. 1994, 98, 10282-10288.",DeltaG,False
77,methyl beta-cyclodextrin,51051622,alpha-pinene,6654.0,7.0,298.0,-19.28,0.0,2395,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
78,alpha-cyclodextrin,444913,(s)-(+)-2-butanol,444683.0,6.9,298.0,-7.9,0.3,24,," Rekharsky, M. V.; Schwarz, F. P.; Tewari, Y. B.; Goldberg, R. N. J. Phys. Chem. 1994, 98, 10282-10288.",DeltaG,False
79,sulfobutylether-beta-cd,91886200,alpha-pinene,6654.0,7.0,298.0,-18.33,0.0,1633,,"Kfoury M, Pipkin JD, Antle V, Fourmentin S (2017)  Captisol<s>®</s>: anefficient carrier and solubilizing agent for essential oils andtheir components. Flavour Fragr J 32(5):340–346. https://doi.org/10.1002/ffj.3395",K,False
80,alpha-cyclodextrin,444913,1-butanol,263.0,6.9,298.0,-10.9,0.1,81,," Rekharsky, M. V.; Schwarz, F. P.; Tewari, Y. B.; Goldberg, R. N. J. Phys. Chem. 1994, 98, 10282-10288.",DeltaG,False
81,hp-beta-cd,138319308,beta-pinene,14896.0,7.0,298.0,-19.96,0.0,3151,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
82,alpha-cyclodextrin,444913,1-butanol,263.0,7.0,298.0,-10.5,0.4,69,," Spencer, J. N.; DeGarmo, J.; Paul, I. M.; He, Q.; Ke, X.; Wu, Z.; Yoder, C. H.; Chen, S.; Mihalick, J. E. J. Solution Chem. 1995, 24, 601-609. Complexation Thermodynamics of Cyclodextrins",DeltaG,False
83,alpha-cyclodextrin,444913,beta-pinene,14896.0,7.0,298.0,-17.16,0.0,1018,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
84,alpha-cyclodextrin,444913,2-butanol,6568.0,7.0,298.0,-8.3,0.0,29,," Barone, G.; Castronuovo, G.; Elia, V.; Muscetta, M. Thermochim. Acta 1985, 85, 443-446.",DeltaG,False
85,beta-cyclodextrin,444041,beta-pinene,14896.0,7.0,298.0,-20.89,0.0,4587,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
86,alpha-cyclodextrin,444913,butylamine,8007.0,7.0,298.0,-11.6,0.1,108,," Spencer, J. N.; Mihalick, J. E.; Paul, I. M.; Petigara, B.; Wu, Z.; Chen, S.; Yoder, C. H. J. Solution Chem. 1996, 25, 747-756.",DeltaG,False
87,gamma-cyclodextrin,5287407,beta-pinene,14896.0,7.0,298.0,-15.98,0.0,633,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
88,alpha-cyclodextrin,444913,butylammonium,3614750.0,6.9,298.0,-6.59,0.16,14,," Rekharsky, M. V.; Mayhew, M. P.; Goldberg, R. N.; Ross, P. D.; Yamashoji, Y.; Inoue, Y.; A J. Phys. Chem. 1997, 101, 87-100.",DeltaG,False
89,methyl beta-cyclodextrin,51051622,beta-pinene,14896.0,7.0,298.0,-20.81,0.0,4450,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
90,alpha-cyclodextrin,444913,1-butylimidazole,61347.0,10.0,298.0,-12.77,0.07,173,," Rekharsky, M. V.; Goldberg, R. N.; Schwarz, F. P.; Tewari, Y. B.; Ross, P. D.; Yamashoji, Y.; Inoue, Y. J. Am. Chem. Soc. 1995, 117, 8830-8840.",DeltaG,True
91,sulfobutylether-beta-cd,91886200,beta-pinene,14896.0,7.0,298.0,-21.13,0.0,5053,,"Kfoury M, Pipkin JD, Antle V, Fourmentin S (2017)  Captisol<s>®</s>: anefficient carrier and solubilizing agent for essential oils andtheir components. Flavour Fragr J 32(5):340–346. https://doi.org/10.1002/ffj.3395",K,False
92,alpha-cyclodextrin,444913,chlorcyclizine,2710.0,7.0,298.0,-17.6,0.0,1216,," Mwakibete, H.; Bloor, D. M.; Wyn-Jones, E. J. Inclusion Phenom. Mol. Recognit. Chem. 1991, 10, 497-505.",DeltaG,False
93,hp-beta-cd,138319308,pulegone,442495.0,7.0,298.0,-16.14,0.0,676,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
94,alpha-cyclodextrin,444913,4-chlorophenol,4684.0,4.2,298.0,-14.1,0.1,296,," Bertrand, G. L.; Faulkner, J. R.; Han, S. M.; Armstrong, D. W. J. Phys. Chem. 1989, 93, 6863-6867.",DeltaG,False
95,alpha-cyclodextrin,444913,pulegone,442495.0,7.0,298.0,-8.43,0.0,30,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
96,alpha-cyclodextrin,444913,4-chlorophenol,4684.0,4.0,298.0,-13.8,0.3,262,," Hirayama, F.; Kurihara, M.; Uekama, K. Int. J. Pharm. 1987, 35, 193-199.",DeltaG,False
97,beta-cyclodextrin,444041,pulegone,442495.0,7.0,298.0,-14.38,0.0,331,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
98,alpha-cyclodextrin,444913,3-chlorophenyl acetate,83061.0,10.0,298.0,-13.6,0.0,242,," Komiyama, M.; Bender, M. L. J. Am. Chem. Soc. 1978, 100, 4576-4579.",DeltaG,False
99,gamma-cyclodextrin,5287407,pulegone,442495.0,7.0,298.0,-10.92,0.0,82,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
100,alpha-cyclodextrin,444913,4-cyanophenol,13019.0,4.0,298.0,-12.8,0.4,175,," Hirayama, F.; Kurihara, M.; Uekama, K. Int. J. Pharm. 1987, 35, 193-199.",DeltaG,False
