,Host,CID_Host,Guest,CID_Guest,pH,T,DeltaG,Erreur,K,logK,Reference,Original_Value,IsomericSMILES,IsomericSMILES_Host,TPSA,MolecularWeight,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,HeavyAtomCount,MolLogP,AromaticProportion,TPSA_Host,MolecularWeight_Host,Complexity_Host,Charge_Host,HBondDonorCount_Host,HBondAcceptorCount_Host,HeavyAtomCount_Host,iso2vec-0,iso2vec-1,iso2vec-2,iso2vec-3,iso2vec-4,iso2vec-5,iso2vec-6,iso2vec-7,iso2vec-8,iso2vec-9,iso2vec-host-0,iso2vec-host-1,iso2vec-host-2,iso2vec-host-3,iso2vec-host-4,iso2vec-host-5,iso2vec-host-6,iso2vec-host-7,iso2vec-host-8,iso2vec-host-9
13,beta-cyclodextrin,444041,limonene,22311,7.0,298.0,-19.97,0.0,3162,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,C=C(C)C1CC=C(C)CC1,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,0.0,136.23799999999997,162.8771237954945,0,0,0,10,3.308900000000002,0.0,554.0500000000002,1134.9870000000014,1467.0881468264465,0,21,35,77,-0.16296452,-1.1764759,-1.1532687,0.74295753,-0.014646913,-0.5525836,-0.33452222,0.8125529,0.422019,-0.24786124,0.2626255,0.86445445,0.30033317,-0.0630008,0.331219,0.1535622,0.6121073,-0.28027764,-0.22844948,-0.048584875
14,alpha-cyclodextrin,444913,1-adamantylammonium,3776755,2.5,298.0,-9.68,0.04,50,," Gelb, R. I.; Schwartz, L. M.; Laufer, D. A. J. Chem. Soc., Perkin Trans. 2 1984, 15-21.",DeltaG,[NH3+]C12CC3CC(CC(C3)C1)C2,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,27.64,152.26099999999997,150.02758609770032,1,1,0,11,1.1970999999999992,0.0,474.9000000000001,972.8460000000011,1233.4857443469036,0,18,30,66,0.41634765,-0.25610134,0.010697499,0.0590416,0.25660825,-0.5853613,-0.056214288,0.3436323,0.31087098,0.051823013,0.25891924,0.861645,0.30343208,-0.06228494,0.33509254,0.1537315,0.61333036,-0.28240612,-0.22697166,-0.049226433
15,hp-beta-cd,138319308,limonene,22311,7.0,298.0,-19.65,0.0,2787,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,C=C(C)C1CC=C(C)CC1,CC(O)COC[C@H]1O[C@@H]2O[C@H]3[C@@H](O)[C@H](O)[C@@H](O[C@H]4[C@@H](O)[C@H](O)[C@@H](O[C@H]5[C@@H](O)[C@H](O)[C@@H](O[C@H]6[C@@H](O)[C@H](O)[C@@H](O[C@H]7[C@@H](O)[C@H](O)[C@@H](O[C@H]8[C@@H](O)[C@H](O)[C@@H](O[C@H]1[C@@H](O)[C@@H]2O)O[C@@H]8COCC(C)O)O[C@@H]7COCC(C)O)O[C@@H]6COCC(C)O)O[C@@H]5COCC(C)O)O[C@@H]4COCC(C)O)O[C@@H]3COCC(C)O,0.0,136.23799999999997,162.8771237954945,0,0,0,10,3.308900000000002,0.0,618.6600000000004,1541.5470000000007,1996.520904719373,0,21,42,105,-0.16296452,-1.1764759,-1.1532687,0.74295753,-0.014646913,-0.5525836,-0.33452222,0.8125529,0.422019,-0.24786124,0.36621144,0.6796585,0.120103136,0.10104602,0.3105615,0.004921822,0.5923834,-0.16931322,-0.12828474,-0.16193587
17,alpha-cyclodextrin,444913,limonene,22311,7.0,298.0,-17.74,0.0,1289,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,C=C(C)C1CC=C(C)CC1,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,0.0,136.23799999999997,162.8771237954945,0,0,0,10,3.308900000000002,0.0,474.9000000000001,972.8460000000011,1233.4857443469036,0,18,30,66,-0.16296452,-1.1764759,-1.1532687,0.74295753,-0.014646913,-0.5525836,-0.33452222,0.8125529,0.422019,-0.24786124,0.25891924,0.861645,0.30343208,-0.06228494,0.33509254,0.1537315,0.61333036,-0.28240612,-0.22697166,-0.049226433
18,alpha-cyclodextrin,444913,3-aminobenzoic acid,7419,7.0,298.0,-9.9,0.0,54,," Harata, K. Bioorg. Chem. 1981, 10, 255-265.",DeltaG,NC1=CC=CC(C(=O)O)=C1,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,63.32000000000001,137.138,257.53794892648057,0,2,2,10,0.9670000000000001,0.6,474.9000000000001,972.8460000000011,1233.4857443469036,0,18,30,66,0.467874,-1.3063337,-0.4562971,1.1088579,-0.18723704,-0.29138204,-0.24620128,0.21474828,0.65524817,0.15698807,0.25891924,0.861645,0.30343208,-0.06228494,0.33509254,0.1537315,0.61333036,-0.28240612,-0.22697166,-0.049226433
19,gamma-cyclodextrin,5287407,limonene,22311,7.0,298.0,-11.78,0.0,116,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,C=C(C)C1CC=C(C)CC1,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@@H]9[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]9O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,0.0,136.23799999999997,162.8771237954945,0,0,0,10,3.308900000000002,0.0,633.2000000000003,1297.1280000000015,1704.4130590253585,0,24,40,88,-0.16296452,-1.1764759,-1.1532687,0.74295753,-0.014646913,-0.5525836,-0.33452222,0.8125529,0.422019,-0.24786124,0.2651827,0.866627,0.29783505,-0.06326773,0.32821473,0.15318896,0.61130404,-0.27793846,-0.22971776,-0.04746944
20,alpha-cyclodextrin,444913,4-aminobenzoic acid,978,7.0,298.0,-15.9,0.4,613,," Lewis, E. A.; Hansen, L. D. J. Chem. Soc., Perkin Trans. 2 1973, 2081-2085.",DeltaG,NC1=CC=C(C(=O)O)C=C1,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,63.32000000000001,137.138,240.2879489264805,0,2,2,10,0.9670000000000001,0.6,474.9000000000001,972.8460000000011,1233.4857443469036,0,18,30,66,0.4738823,-1.4294437,-0.43920976,1.1078111,-0.14744002,-0.2175292,-0.29886097,0.31425634,0.7497353,0.081880055,0.25891924,0.861645,0.30343208,-0.06228494,0.33509254,0.1537315,0.61333036,-0.28240612,-0.22697166,-0.049226433
21,methyl beta-cyclodextrin,51051622,limonene,22311,7.0,298.0,-20.78,0.0,4386,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,C=C(C)C1CC=C(C)CC1,CO[C@@H]1[C@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@H]([C@@H](CO)O2)[C@H]1O)[C@@H](OC)[C@@H]8OC)[C@@H](OC)[C@@H]7OC)[C@@H](OC)[C@@H]6OC)[C@@H](OC)[C@@H]5OC)[C@@H](OC)[C@@H]4OC)[C@@H](OC)[C@@H]3O,0.0,136.23799999999997,162.8771237954945,0,0,0,10,3.308900000000002,0.0,422.0500000000002,1303.3109999999997,2038.004194716883,0,9,35,89,-0.16296452,-1.1764759,-1.1532687,0.74295753,-0.014646913,-0.5525836,-0.33452222,0.8125529,0.422019,-0.24786124,0.13623242,0.76314646,0.21443704,-0.035484962,0.3558437,0.16638033,0.5772587,-0.2498776,-0.22380413,-0.036423024
23,sulfobutylether-beta-cd,91886200,limonene,22311,7.0,298.0,-20.59,0.0,4069,,"Kfoury M, Pipkin JD, Antle V, Fourmentin S (2017)  Captisol<s>®</s>: anefficient carrier and solubilizing agent for essential oils andtheir components. Flavour Fragr J 32(5):340–346. https://doi.org/10.1002/ffj.3395",K,C=C(C)C1CC=C(C)CC1,C[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](COCCCCS(=O)(=O)[O-])O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O.[Na+],0.0,136.23799999999997,162.8771237954945,0,0,0,10,3.308900000000002,0.0,580.0200000000002,1277.1420000000012,2144.1382411691416,0,19,37,85,-0.16296452,-1.1764759,-1.1532687,0.74295753,-0.014646913,-0.5525836,-0.33452222,0.8125529,0.422019,-0.24786124,0.28019685,0.81077373,0.29861262,-0.035150122,0.35440361,0.14304717,0.57158935,-0.23897944,-0.16933882,-0.022711152
24,alpha-cyclodextrin,444913,2-aminooctanoic acid,69522,7.8,298.0,-16.0,0.2,638,," Castronuovo, G.; Elia, V.; Fessas, D.; Giordano, A.; Velleca, F. Carbohydr. Res. 1995, 272, 31-39.",DeltaG,CCCCCCC(N)C(=O)O,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,63.32000000000001,159.229,114.6596856226232,0,2,2,11,1.3687,0.0,474.9000000000001,972.8460000000011,1233.4857443469036,0,18,30,66,0.23457164,0.21431896,-0.4710596,1.5951239,1.2753079,0.19199856,1.2374301,0.9489031,2.0343144,-0.028234964,0.25891924,0.861645,0.30343208,-0.06228494,0.33509254,0.1537315,0.61333036,-0.28240612,-0.22697166,-0.049226433
25,hp-beta-cd,138319308,linalool,6549,7.0,298.0,-15.83,0.0,596,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,C=CC(C)(O)CCC=C(C)C,CC(O)COC[C@H]1O[C@@H]2O[C@H]3[C@@H](O)[C@H](O)[C@@H](O[C@H]4[C@@H](O)[C@H](O)[C@@H](O[C@H]5[C@@H](O)[C@H](O)[C@@H](O[C@H]6[C@@H](O)[C@H](O)[C@@H](O[C@H]7[C@@H](O)[C@H](O)[C@@H](O[C@H]8[C@@H](O)[C@H](O)[C@@H](O[C@H]1[C@@H](O)[C@@H]2O)O[C@@H]8COCC(C)O)O[C@@H]7COCC(C)O)O[C@@H]6COCC(C)O)O[C@@H]5COCC(C)O)O[C@@H]4COCC(C)O)O[C@@H]3COCC(C)O,20.23,154.253,150.25571236699292,0,1,1,11,2.6698000000000013,0.0,618.6600000000004,1541.5470000000007,1996.520904719373,0,21,42,105,0.18499571,-1.0716594,-1.1651678,0.9264581,-0.08209794,-0.6673613,0.04319319,0.6688191,0.66764355,-0.29344684,0.36621144,0.6796585,0.120103136,0.10104602,0.3105615,0.004921822,0.5923834,-0.16931322,-0.12828474,-0.16193587
